Country(or dependency),Population(2020),YearlyChange,NetChange,DensitySquareKm,LandAreaSquareKm,Migrants(net),Fert.Rate,Med.Age,UrbanPop ,WorldShare,NormalisedPopulation
China,1440297825.00,39.00,5540090.00,153.00,9388211.00,-348399.00,1.70,38.00,6100.00,1847.00,153.4155789
India,1382345085.00,99.00,13586631.00,464.00,2973190.00,-532687.00,2.20,28.00,3500.00,1770.00,464.9366791
United States,331341050.00,59.00,1937734.00,36.00,9147420.00,954806.00,1.80,38.00,8300.00,425.00,36.22235013
Indonesia,274021604.00,107.00,2898047.00,151.00,1811570.00,-98955.00,2.30,30.00,5600.00,351.00,151.2619463
Pakistan,221612785.00,200.00,4327022.00,287.00,770880.00,-233379.00,3.60,23.00,3500.00,283.00,287.4802628
Brazil,212821986.00,72.00,1509890.00,25.00,8358140.00,21200.00,1.70,33.00,8800.00,273.00,25.46284054
Nigeria,206984347.00,258.00,5175990.00,226.00,910770.00,-60000.00,5.40,18.00,5200.00,264.00,227.2630269
Bangladesh,164972348.00,101.00,1643222.00,1265.00,130170.00,-369501.00,2.10,28.00,3900.00,211.00,1267.360744
Russia,145945524.00,4.00,62206.00,9.00,16376870.00,182456.00,1.80,40.00,7400.00,187.00,8.911686055
Mexico,129166028.00,106.00,1357224.00,66.00,1943950.00,-60000.00,2.10,29.00,8400.00,165.00,66.44513902
Japan,126407422.00,-30.00,-383840.00,347.00,364555.00,71560.00,1.40,48.00,9200.00,162.00,346.7444473
Ethiopia,115434444.00,257.00,2884858.00,115.00,1000000.00,30000.00,4.30,19.00,2100.00,147.00,115.434444
Philippines,109830324.00,135.00,1464463.00,368.00,298170.00,-67152.00,2.60,26.00,4700.00,141.00,368.3480028
Egypt,102659126.00,194.00,1946331.00,103.00,995450.00,-38033.00,3.30,25.00,4300.00,131.00,103.12836
Vietnam,97490013.00,91.00,876473.00,314.00,310070.00,-80000.00,2.10,32.00,3800.00,125.00,314.4129164
DR Congo,90003954.00,319.00,2770836.00,40.00,2267050.00,23861.00,6.00,17.00,4600.00,115.00,39.70091264
Turkey,84495243.00,109.00,909452.00,110.00,769630.00,283922.00,2.10,32.00,7600.00,108.00,109.7868365
Iran,84176929.00,130.00,1079043.00,52.00,1628550.00,-55000.00,2.20,32.00,7600.00,108.00,51.68826809
Germany,83830972.00,32.00,266897.00,240.00,348560.00,543822.00,1.60,46.00,7600.00,107.00,240.5065756
Thailand,69830779.00,25.00,174396.00,137.00,510890.00,19444.00,1.50,40.00,5100.00,90.00,136.6845681
United Kingdom,67948282.00,53.00,355839.00,281.00,241930.00,260650.00,1.80,40.00,8300.00,87.00,280.8592651
France,65298930.00,22.00,143783.00,119.00,547557.00,36527.00,1.90,42.00,8200.00,84.00,119.2550365
Italy,60446035.00,-15.00,-88249.00,206.00,294140.00,148943.00,1.30,47.00,6900.00,78.00,205.5009009
Tanzania,60012400.00,298.00,1728755.00,67.00,885800.00,-40076.00,4.90,18.00,3700.00,77.00,67.74937909
South Africa,59436725.00,128.00,750420.00,49.00,1213090.00,145405.00,2.40,28.00,6700.00,76.00,48.99613796
Myanmar,54473253.00,67.00,364380.00,83.00,653290.00,-163313.00,2.20,29.00,3100.00,70.00,83.38295856
Kenya,53968739.00,228.00,1197323.00,94.00,569140.00,-10000.00,3.50,20.00,2800.00,69.00,94.82506765
South Korea,51276977.00,9.00,43877.00,527.00,97230.00,11731.00,1.10,44.00,8200.00,66.00,527.3781446
Colombia,50976248.00,108.00,543448.00,46.00,1109500.00,204796.00,1.80,31.00,8000.00,65.00,45.9452438
Spain,46757980.00,4.00,18002.00,94.00,498800.00,40000.00,1.30,45.00,8000.00,60.00,93.74093825
Uganda,45974931.00,332.00,1471413.00,229.00,199810.00,168694.00,5.00,17.00,2600.00,59.00,230.0932436
Argentina,45267449.00,93.00,415097.00,17.00,2736690.00,4800.00,2.30,32.00,9300.00,58.00,16.54094874
Algeria,43984569.00,185.00,797990.00,18.00,2381740.00,-10000.00,3.10,29.00,7300.00,56.00,18.46740996
Sudan,44019263.00,242.00,1036022.00,25.00,1765048.00,-50000.00,4.40,20.00,3500.00,56.00,24.93941411
Ukraine,43686577.00,-59.00,-259876.00,75.00,579320.00,10000.00,1.40,41.00,6900.00,56.00,75.41009632
Iraq,40372771.00,232.00,912710.00,93.00,434320.00,7834.00,3.70,21.00,7300.00,52.00,92.95627878
Afghanistan,39074280.00,233.00,886592.00,60.00,652860.00,-62920.00,4.60,18.00,2500.00,50.00,59.85093282
Poland,37839255.00,-11.00,-41157.00,124.00,306230.00,-29395.00,1.40,42.00,6000.00,49.00,123.5648206
Canada,37799407.00,89.00,331107.00,4.00,9093510.00,242032.00,1.50,41.00,8100.00,48.00,4.156745525
Morocco,36985624.00,120.00,438791.00,83.00,446300.00,-51419.00,2.40,30.00,6400.00,47.00,82.8716648
Saudi Arabia,34905942.00,159.00,545343.00,16.00,2149690.00,134979.00,2.30,32.00,8400.00,45.00,16.2376631
Uzbekistan,33551824.00,148.00,487487.00,79.00,425400.00,-8863.00,2.40,28.00,5000.00,43.00,78.87123648
Peru,33050211.00,142.00,461401.00,26.00,1280000.00,99069.00,2.30,31.00,7900.00,42.00,25.82047734
Angola,33032075.00,327.00,1040977.00,26.00,1246700.00,6413.00,5.60,17.00,6700.00,42.00,26.49560841
Malaysia,32436963.00,130.00,416222.00,99.00,328550.00,50000.00,2.00,30.00,7800.00,42.00,98.7276305
Mozambique,31398811.00,293.00,889399.00,40.00,786380.00,-5000.00,4.90,18.00,3800.00,40.00,39.92829294
Ghana,31181428.00,215.00,655084.00,137.00,227540.00,-10000.00,3.90,22.00,5700.00,40.00,137.0371275
Yemen,29935468.00,228.00,664042.00,56.00,527970.00,-30000.00,3.80,20.00,3800.00,38.00,56.69918367
